address,categories,city,latitude,longitude,name,postalCode,province
139 Flatbush Ave,Fast Food Restaurant,Brooklyn,40.684698,-73.976819,Mc Donalds,11217,NY
139 Flatbush Ave,Fast Food Restaurant and Burger Joint,Brooklyn,40.684698,-73.976819,Mc Donalds,11217,NY
825 Dulaney Valley Rd Ste 3285,Fast Food Restaurant,Towson,39.403864,-76.59874,Chick-fil-A,21204,MD
4418 Chantilly Place,Fast Food,Chantilly,38.886621,-77.44445,Taco Bell,20151,VA
4388 South Laburnum Avenue,Fast Food,Henrico,37.529229,-77.358994,Taco Bell,23231,VA
500 Liberty St,Fast Food Restaurants,Martinsville,36.696902,-79.87424,Taco Bell,24112,VA
511 Old Country Rd,Fast Food Restaurant,Westbury,40.747139,-73.594456,Taco Bell,11590,NY
4248 Dale Blvd,Fast Food Restaurants,Woodbridge,38.646533,-77.337168,Taco Bell,22193,VA
4248 Dale Blvd,Fast Food Restaurant,Woodbridge,38.646533,-77.337168,Taco Bell,22193,VA
6200 Baltimore National Pike,Fast Food Restaurant,Catonsville,39.284038,-76.750477,Taco Bell,21228,MD
238 Main St,Fast Food Restaurant and Burger Joint,New Paltz,41.743814,-74.072672,Burger King,12561,NY
230 N Bedford Rd,Fast Food Restaurant,Mount Kisco,41.215869,-73.719627,Burger King,10549,NY
164 S Main St,Fast Food Restaurant,New City,41.141787,-73.990441,Burger King,10956,NY
1727 Merrick Rd,Fast food restaurants,Merrick,40.654022,-73.558266,Burger King,11566,NY
1727 Merrick Rd,Fast Food Restaurant and Burger Joint,Merrick,40.654022,-73.558266,Burger King,11566,NY
2 E Park Ave,Fast Food Restaurant,Long Beach,40.58838,-73.663894,Burger King,11561,NY
4035 State Route 31,Fast Food Restaurant,Liverpool,43.185498,-76.234803,Burger King,13090,NY
47 Sullivan Ave,Fast Food Restaurant and Burger Joint,Liberty,41.78515,-74.729017,Burger King,12754,NY
334 N Broadway,Fast Food Restaurant and Burger Joint,Jericho,40.784274,-73.533208,Burger King,11753,NY
1010 Ellis Hollow Rd,Fast Food Restaurants,Ithaca,42.436049,-76.463555,Burger King,14850,NY
1830 Rosemont Ave,Fast Food Restaurants,Frederick,39.429866,-77.433061,Pizza Hut,21702,MD
210 S Seton Ave,Fast Food Restaurants,Emmitsburg,39.702421,-77.327782,Pizza Hut,21727,MD
